extreme-tuxracer                   - Tux racing game
fish-fillets                       - Underwater puzzle game
fish-fillets-data                  - Fish Fillets NG data files
fretsonfire                        - Game of musical skill and fast fingers
funnyboat                          - Steamboat arcade
latex-envlab                       - Latex module to format envelopes    
magicor                            - Old-school puzzle game
magicor-data                       - Magicor data files
memonix                            - Contains brain teasers, puzzle and memory games
memonix-data                       - Data package for Memonix
memtest86                          - Memory tester
mono-addins                        - A generic framework for creating extensible applications
